"","","","","","","","","","","","",""
"","Window Size","","","","","","","","","","",""
"","30x30","","90x90","","300x300","","900x900","","1 Sq.Km","","3x3 Km",""
"Coast","n","%","n","%","n","%","n","%","n","%","n","%"
"Atlantic Subestuaries","45","100","45","100","45","100","36"," 80","33"," 73","10"," 22"
"Gulf of Mexico Subestuaries","20","100","20","100","20","100","19"," 95","19"," 95","11"," 55"
"Pacific Subestuaries","19","100","19","100","19","100","16"," 84","16"," 84"," 9"," 47"
"All","84","100","84","100","84","100","71"," 85","68"," 81","30"," 36"
